sweep_dir,run_name,gamma,seed,baseline_ppl,quantized_ppl,quantized_delta,results_path
qkvo_sweep_abs_gamma_again2,005_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_1500,1500.0,42,23.500709533691406,41.997901916503906,18.4971923828125,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again2/005_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_1500/results.json
qkvo_sweep_abs_gamma_again,005_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_1500,1500.0,4242,23.500709533691406,43.2312126159668,19.73050308227539,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again/005_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_1500/results.json
qkvo_sweep_abs_gamma,005_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_1500,1500.0,424242,23.500709533691406,40.86274337768555,17.36203384399414,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma/005_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_1500/results.json
qkvo_sweep_abs_gamma_again2,006_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_2000,2000.0,42,23.500709533691406,44.252220153808594,20.751510620117188,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again2/006_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_2000/results.json
qkvo_sweep_abs_gamma_again,006_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_2000,2000.0,4242,23.500709533691406,45.00592803955078,21.505218505859375,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again/006_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_2000/results.json
qkvo_sweep_abs_gamma,006_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_2000,2000.0,424242,23.500709533691406,41.515045166015625,18.01433563232422,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma/006_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_2000/results.json
qkvo_sweep_abs_gamma_again2,007_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_5000,5000.0,42,23.500709533691406,42.28789520263672,18.787185668945312,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again2/007_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_5000/results.json
qkvo_sweep_abs_gamma_again,007_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_5000,5000.0,4242,23.500709533691406,42.80839920043945,19.307689666748047,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again/007_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_5000/results.json
qkvo_sweep_abs_gamma,007_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_5000,5000.0,424242,23.500709533691406,42.79576873779297,19.295059204101562,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma/007_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_5000/results.json
qkvo_sweep_abs_gamma_again2,008_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_10000,10000.0,42,23.500709533691406,41.339962005615234,17.839252471923828,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again2/008_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_10000/results.json
qkvo_sweep_abs_gamma_again,008_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_10000,10000.0,4242,23.500709533691406,40.57524490356445,17.074535369873047,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma_again/008_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_10000/results.json
qkvo_sweep_abs_gamma,008_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_10000,10000.0,424242,23.500709533691406,42.08993911743164,18.589229583740234,D:/Documents/HTA/College/Projects/LattiBoxiGusinini Quant/qkvo_sweep_abs_gamma/008_b0-11__q_error_mode_absolute__q_beta_700__q_ip_reg_gamma_10000/results.json
