blocks,k,init_mode,best_beta_by_ppl,best_quantized_ppl,best_delta_ppl,best_sq_gain,spearman_beta_vs_ppl,spearman_beta_vs_linear_error
11,1,pca,100.0,24.77803611755371,1.2773933410644531,2.489612579345703,-0.7333333333333332,-0.9999999999999999
11,1,random,1.0,24.697818756103516,1.1971759796142578,2.5698299407958984,-0.6727272727272726,-0.7575757575757575
8-9-10-11,4,pca,50.0,40.92512130737305,17.42447853088379,157.01315689086914,-0.8787878787878788,-0.9999999999999999
8-9-10-11,4,random,1.0,34.03472137451172,10.534078598022461,163.90355682373047,-0.06666666666666665,-0.5151515151515151
