last_k,method,layer_name,block_id,proj_type,rel_recon_error_x,rel_recon_error_w,rel_linear_error
9,SQ,block8.k_proj,-1,k_proj,0.6692263717817375,0.3018235859286205,0.3685709150542909
9,SQ,block8.out_proj,-1,out_proj,0.21382708070101883,0.3482576490351197,0.7175701207346558
9,SQ,block8.q_proj,-1,q_proj,0.6692263717817375,0.1401364940360518,0.4971096439872817
9,SQ,block8.v_proj,-1,v_proj,0.6692263717817375,0.23751286070993102,0.9437627945578152
9,SQ,block9.k_proj,-1,k_proj,0.7694815181578895,0.2842154876541933,0.46141790103752506
9,SQ,block9.out_proj,-1,out_proj,0.23248291019693568,0.3625956989957487,0.6656107854417194
9,SQ,block9.q_proj,-1,q_proj,0.7694815181578895,0.15717979199822932,0.6157820737356559
9,SQ,block9.v_proj,-1,v_proj,0.7694815181578895,0.22490910238583534,0.9419084123204021
10,Ours,block10.k_proj,-1,k_proj,0.04914772019965337,0.03998400416936526,0.10495456190056641
10,Ours,block10.out_proj,-1,out_proj,0.06648278019250368,0.03333386710939205,0.15462742832608062
10,Ours,block10.q_proj,-1,q_proj,0.04917392715152218,0.03737816473307777,0.09381548930069247
10,Ours,block10.v_proj,-1,v_proj,0.04966483020654248,0.033503235615085725,0.11696579715989074
10,Ours,block11.k_proj,-1,k_proj,0.05073350761167575,0.03721139609655251,0.09893771598703492
10,Ours,block11.out_proj,-1,out_proj,0.05693389515899576,0.08075965029163248,0.22643633021369108
10,Ours,block11.q_proj,-1,q_proj,0.050693850210895286,0.036670340198684745,0.09953284361770948
10,Ours,block11.v_proj,-1,v_proj,0.050924648170611896,0.034539794216328336,0.12268027955576656
10,Ours,block2.k_proj,-1,k_proj,0.03418851048404597,0.05491283784632248,0.11926505076292078
10,Ours,block2.out_proj,-1,out_proj,0.05002720324813725,0.04854865579114303,0.13689281729591082
10,Ours,block2.q_proj,-1,q_proj,0.034069885465688475,0.05554509344715052,0.12366774235579299
10,Ours,block2.v_proj,-1,v_proj,0.03459923197184673,0.036146720924281846,0.14178223133704593
10,Ours,block3.k_proj,-1,k_proj,0.03519634180641239,0.06173827064350883,0.10685031368637045
10,Ours,block3.out_proj,-1,out_proj,0.053413610649042896,0.035659683003563016,0.13001722880142852
10,Ours,block3.q_proj,-1,q_proj,0.035490208175494024,0.05176449893285376,0.10115655761392793
10,Ours,block3.v_proj,-1,v_proj,0.035865388852001405,0.0340553603347107,0.13091514641144186
10,Ours,block4.k_proj,-1,k_proj,0.038352568359429344,0.04341979612185925,0.13540466106154941
10,Ours,block4.out_proj,-1,out_proj,0.061606221552336915,0.034324619337549794,0.12116818684624925
10,Ours,block4.q_proj,-1,q_proj,0.038267330652625955,0.04121512699361579,0.11470423155130503
10,Ours,block4.v_proj,-1,v_proj,0.03845899593581142,0.03375340496012005,0.12937202667303713
10,Ours,block5.k_proj,-1,k_proj,0.04042754167271979,0.050725782919612036,0.15729805977192562
10,Ours,block5.out_proj,-1,out_proj,0.06186231031650763,0.033179489653556465,0.14404823859975854
10,Ours,block5.q_proj,-1,q_proj,0.04052255519670884,0.04353153780397884,0.12371502752839328
10,Ours,block5.v_proj,-1,v_proj,0.04086569770769531,0.03293472293937108,0.11991914360876547
10,Ours,block6.k_proj,-1,k_proj,0.041420548413799226,0.044842166079962956,0.14380031394756182
10,Ours,block6.out_proj,-1,out_proj,0.05505224960138692,0.033387501135873014,0.12145515138898287
10,Ours,block6.q_proj,-1,q_proj,0.04143350048443057,0.04214486182412337,0.14523722919922083
10,Ours,block6.v_proj,-1,v_proj,0.041643606632431565,0.03657604438601338,0.12635922311571318
10,Ours,block7.k_proj,-1,k_proj,0.041621881291221755,0.04929311591722155,0.15290504704682478
10,Ours,block7.out_proj,-1,out_proj,0.060678823393451466,0.033566158387642445,0.1529966491207161
10,Ours,block7.q_proj,-1,q_proj,0.04155175126975716,0.048584455574163014,0.11647178100476241
10,Ours,block7.v_proj,-1,v_proj,0.04180750303614314,0.034061297487848134,0.12045899928761819
10,Ours,block8.k_proj,-1,k_proj,0.04517174640818647,0.04307645905959438,0.1200278187791486
10,Ours,block8.out_proj,-1,out_proj,0.06619682824810466,0.03496160359121286,0.139781270784744
10,Ours,block8.q_proj,-1,q_proj,0.044952356829646635,0.051325404130383584,0.11193423178918252
10,Ours,block8.v_proj,-1,v_proj,0.04547381362640704,0.031226137257749458,0.11865057660856805
10,Ours,block9.k_proj,-1,k_proj,0.046411575449272297,0.04172830368322004,0.11213549956531386
10,Ours,block9.out_proj,-1,out_proj,0.06686992227990377,0.03141859601772382,0.148547995696627
10,Ours,block9.q_proj,-1,q_proj,0.04605470724988731,0.03997419223055069,0.10583653964810767
10,Ours,block9.v_proj,-1,v_proj,0.046543113551963486,0.03334843872625009,0.11350122181018238
10,SQ,block10.k_proj,-1,k_proj,0.8058087776561967,0.2246914870283179,0.38407211234485944
10,SQ,block10.out_proj,-1,out_proj,0.29943780063806125,0.28051186835322084,0.6938099204839964
10,SQ,block10.q_proj,-1,q_proj,0.8058087776561967,0.2421869819683673,0.44950110959176537
10,SQ,block10.v_proj,-1,v_proj,0.8058087776561967,0.266270637077629,1.0387375135421955
10,SQ,block11.k_proj,-1,k_proj,0.9349665713404348,0.15906105662685394,0.7583575149213981
10,SQ,block11.out_proj,-1,out_proj,0.19241041790461222,0.7441546364892785,0.8297768731758811
10,SQ,block11.q_proj,-1,q_proj,0.9349665713404348,0.13703726190802296,0.8417960596512233
10,SQ,block11.v_proj,-1,v_proj,0.9349665713404348,0.4405761492800679,1.0346621764848403
10,SQ,block2.k_proj,-1,k_proj,0.28222992019148785,0.24950616501308995,0.2829672701294343
10,SQ,block2.out_proj,-1,out_proj,0.31293158440357915,0.7686297915388882,1.1233806474209136
10,SQ,block2.q_proj,-1,q_proj,0.28222992019148785,0.16641957412242053,0.25453038589412663
10,SQ,block2.v_proj,-1,v_proj,0.28222992019148785,0.14381295290785723,0.8071783042007551
10,SQ,block3.k_proj,-1,k_proj,0.2731392628981366,0.0847967081074489,0.2121748019039476
10,SQ,block3.out_proj,-1,out_proj,0.3338059579365222,0.8173835793520986,1.1199244030855693
10,SQ,block3.q_proj,-1,q_proj,0.2731392628981366,0.1335853141379243,0.2107994612973593
10,SQ,block3.v_proj,-1,v_proj,0.2731392628981366,0.2733508524587169,0.8895872553150433
10,SQ,block4.k_proj,-1,k_proj,0.3529840530218012,0.1330735848140936,0.21152909038886508
10,SQ,block4.out_proj,-1,out_proj,0.3519814432930119,0.4653306603967309,0.8705596196314853
10,SQ,block4.q_proj,-1,q_proj,0.3529840530218012,0.10886956811081006,0.2585270341798843
