last_k,baseline_ppl,sq_ppl,ours_ppl,sq_delta_ppl,ours_delta_ppl,ours_minus_sq,ours_improve_over_sq_abs,ours_improve_over_sq_pct
9,23.500680923461914,637.6474609375,117.16818237304688,614.1467800140381,93.66750144958496,-520.4792785644531,520.4792785644531,81.62492763622386
10,23.500680923461914,803.2958374023438,133.4709930419922,779.7951564788818,109.97031211853027,-669.8248443603516,669.8248443603516,83.38457803122648
11,23.500680923461914,1037.937744140625,162.93515014648438,1014.4370632171631,139.43446922302246,-875.0025939941406,875.0025939941406,84.30203053446247
